Company Name,Net Sales,Cons PAT,Cons OCF,OCF/PAT,PBIDTM (%),PATM (%),FR_Dividend Pay Out Ratio(%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Free Float,Ev/EBITDA,M/Sales
3I Infotech Ltd.,1311.36,-504.97,49.48,-0.1,11.81,-36.9,0,-61.72,-4.81,0.34,2.6,40.37,19.55,0.27
3M India Ltd.,1574.13,52.27,63.78,1.22,7.37,3.16,0,8.29,11.31,1.68,0.26,12.59,37.04,2.98
Aavas Financiers Ltd.,17.39,1.89,-172.5,-91.5,57.3,10.84,0,6.69,9.57,0.16,5.17,0,0,0
ABB India Ltd.,7610.48,140.94,-44.2,-0.31,4.76,1.85,45.1,5.49,9.82,1.19,0.13,13.15,39.42,2.05
Abbott India Ltd.,1652.69,144.7,101.35,0.7,13.38,8.64,24.96,24.3,36.11,1.74,0,20.12,13.82,2.03
Accelya Solutions India Ltd.,303.84,84.38,114.18,1.35,44.48,27.77,123.83,70.46,102.99,1.4,0,20.48,3.75,1.47
Aegis Logistics Ltd.,3981.64,33.6,1774.26,52.81,3.31,0.88,39.76,11.69,7.42,2.01,1.07,24.26,4.98,0.1
AGC Networks Ltd.,1050.1,-21.9,-60.8,2.78,4.04,-2.08,0,-6.97,4.89,1,1.04,20.66,4.12,0.43
Agro Tech Foods Ltd.,788.92,41.9,17.83,0.43,8.57,5.3,11.63,18.45,26.86,2.63,0,24.26,19.23,1.6
Akzo Nobel India Ltd.,2232,218.8,208,0.95,13.21,8.85,170.75,17.28,22.65,1.1,0,10.65,20.53,4.66
Allsec Technologies Ltd.,320.07,1.95,27.22,13.96,12.68,2.76,0,8.81,24.89,2.14,0.05,20.51,2.53,0.24
Ambuja Cements Ltd.,9750.45,1293.21,1859.95,1.44,25.51,11.68,42.93,15.37,23.24,0.92,0.01,33.2,11.14,3.23
Andhra Paper Ltd.,1230.5,-23.7,174.1,-7.35,10.69,-1.83,0,-5.06,3.72,1.05,0.98,19.81,15.06,1.2
Asahi India Glass Ltd.,1929.1,-97.5,111.44,-1.14,8.15,-4.55,0,-110.66,1.36,0.97,38.63,30.57,15.17,0.54
Asian Hotels (East) Ltd.,151.11,10.7,31.83,2.98,37.92,0.57,48.13,0.11,3.97,0.14,0.44,40.93,4.67,3.1
Asian Hotels (North) Ltd.,320.84,59.75,76.95,1.29,32.62,-114.74,3.26,-60.45,-17.04,0.14,1.22,13.94,9.69,1.01
Asian Hotels (West) Ltd.,135.47,-2.66,118.1,-44.45,23.5,-5.32,-86.25,-2.33,2.34,0.13,2.03,23.7,13.06,1.08
Asian Oilfield Services Ltd.,55.38,-10.29,-9.43,0.92,5.42,-18.59,0,-13.32,-7.13,0.47,0.38,38.79,0,0.86
Astrazeneca Pharma India Ltd.,390.42,-89.53,-6.04,0.07,-14.56,-22.47,0,-61.95,-48.62,1.26,0,10,33.85,8.58
Banco Products (India) Ltd.,1024.14,61.3,97.49,1.59,11.62,5.71,21,13.7,15.27,1.36,0.45,24.65,4.03,0.42
BASF India Ltd.,3940.63,114.08,233.22,2.04,6.02,2.69,15.18,10.72,13.82,1.7,0.34,17.89,12.11,0.73
Bata India Ltd.,1842.45,172.08,184.46,1.07,16.88,9.19,22.41,28.37,43.63,1.9,0,36.06,14.17,3.43
Bayer CropScience Ltd.,2725.3,1161.7,138.3,0.12,15.1,40.92,1.7,85.29,115.04,0.91,0,21.35,9.83,1.67
